months,areasverdes,areasverdescultivadas,areasverdesdeforestadas
2022.0,27645000.0,161308.575,580545.0
2022.083,27610063.6313,160901.125197,579811.336256
2022.167,27575154.447,160494.507075,579078.243387
2022.25,27540272.469,160088.719686,578345.721848
2022.333,27505417.7188,159683.762079,577613.772095
2022.417,27470590.218,159279.633301,576882.394577
2022.5,27435789.9878,158876.332397,576151.589745
2022.583,27401017.0497,158473.858413,575421.358044
2022.667,27366271.4248,158072.21039,574691.69992
2022.75,27331553.134,157671.38737,573962.615813
2022.833,27296862.1983,157271.388391,573234.106164
2022.917,27262198.6385,156872.212491,572506.171408
2023.0,27227562.4752,156473.858706,571778.811979
2023.083,27192953.7291,156076.32607,571052.028311
2023.167,27158372.4206,155679.613617,570325.820832
2023.25,27123818.57,155283.720377,569600.18997
2023.333,27089292.1975,154888.64538,568875.136148
2023.417,27054793.3233,154494.387654,568150.659789
2023.5,27020321.9673,154100.946226,567426.761313
2023.583,26985878.1494,153708.320121,566703.441136
2023.667,26951461.8893,153316.508361,565980.699675
2023.75,26917073.2067,152925.50997,565258.53734
2023.833,26882712.121,152535.323968,564536.954542
2023.917,26848378.6518,152145.949373,563815.951688
2024.0,26814072.8183,151757.385203,563095.529184
2024.083,26779794.6396,151369.630475,562375.687432
2024.167,26745544.1349,150982.684203,561656.426833
2024.25,26711321.323,150596.545401,560937.747783
2024.333,26677126.2228,150211.213079,560219.650679
2024.417,26642958.853,149826.686249,559502.135913
2024.5,26608819.2322,149442.963919,558785.203876
2024.583,26574707.3789,149060.045097,558068.854956
2024.667,26540623.3114,148677.92879,557353.089539
2024.75,26506567.048,148296.614001,556637.908008
2024.833,26472538.6068,147916.099736,555923.310743
2024.917,26438538.0059,147536.384995,555209.298124
2025.0,26404565.2631,147157.468779,554495.870526
2025.083,26370620.3963,146779.350089,553783.028323
2025.167,26336703.4231,146402.027922,553070.771886
2025.25,26302814.3611,146025.501275,552359.101584
2025.333,26268953.2278,145649.769144,551648.017784
2025.417,26235120.0404,145274.830524,550937.520848
2025.5,26201314.8162,144900.684406,550227.61114
2025.583,26167537.5723,144527.329783,549518.289019
2025.667,26133788.3257,144154.765646,548809.55484
2025.75,26100067.0933,143782.990984,548101.408959
2025.833,26066373.8918,143412.004786,547393.851727
2025.917,26032708.7379,143041.806037,546686.883495
2026.0,25999071.6481,142672.393724,545980.50461
2026.083,25965462.6388,142303.766831,545274.715416
2026.167,25931881.7265,141935.924341,544569.516256
2026.25,25898328.9271,141568.865238,543864.90747
2026.333,25864804.2569,141202.588502,543160.889396
2026.417,25831307.7319,140837.093112,542457.462369
2026.5,25797839.3678,140472.378047,541754.626723
2026.583,25764399.1804,140108.442286,541052.382788
2026.667,25730987.1853,139745.284805,540350.730892
2026.75,25697603.3982,139382.904579,539649.671361
2026.833,25664247.8343,139021.300582,538949.204519
2026.917,25630920.5089,138660.471789,538249.330688
2027.0,25597621.4374,138300.41717,537550.050185
2027.083,25564350.6346,137941.135698,536851.363327
2027.167,25531108.1156,137582.626341,536153.270428
2027.25,25497893.8953,137224.888071,535455.771801
2027.333,25464707.9883,136867.919853,534758.867755
2027.417,25431550.4093,136511.720657,534062.558596
2027.5,25398421.1728,136156.289447,533366.84463
2027.583,25365320.2932,135801.625188,532671.726158
2027.667,25332247.7848,135447.726846,531977.203481
2027.75,25299203.6618,135094.593382,531283.276897
2027.833,25266187.9381,134742.223759,530589.946701
2027.917,25233200.6279,134390.616939,529897.213186
2028.0,25200241.7449,134039.771881,529205.076642
2028.083,25167311.3028,133689.687545,528513.537359
2028.167,25134409.3153,133340.362889,527822.595622
2028.25,25101535.7959,132991.796871,527132.251715
2028.333,25068690.758,132643.988448,526442.505919
2028.417,25035874.2149,132296.936575,525753.358513
2028.5,25003086.1797,131950.640207,525064.809775
2028.583,24970326.6656,131605.098298,524376.859978
2028.667,24937595.6855,131260.309802,523689.509395
2028.75,24904893.2522,130916.27367,523002.758296
2028.833,24872219.3785,130572.988855,522316.606948
2028.917,24839574.0769,130230.454306,521631.055616
2029.0,24806957.3602,129888.668974,520946.104564
2029.083,24774369.2405,129547.631808,520261.754051
2029.167,24741809.7304,129207.341756,519578.004337
2029.25,24709278.8418,128867.797766,518894.855678
2029.333,24676776.587,128528.998784,518212.308327
2029.417,24644302.9779,128190.943757,517530.362535
2029.5,24611858.0263,127853.631629,516849.018552
2029.583,24579441.744,127517.061345,516168.276625
2029.667,24547054.1428,127181.231849,515488.136998
2029.75,24514695.234,126846.142084,514808.599914
2029.833,24482365.0292,126511.790991,514129.665613
2029.917,24450063.5396,126178.177514,513451.334332
2030.0,24417790.7766,125845.300593,512773.606308
2030.083,24385546.7511,125513.159168,512096.481773
2030.167,24353331.4742,125181.752178,511419.960958
2030.25,24321144.9568,124851.078563,510744.044093
2030.333,24288987.2097,124521.137261,510068.731403
2030.417,24256858.2435,124191.92721,509394.023114
2030.5,24224758.0688,123863.447346,508719.919446
2030.583,24192686.6962,123535.696607,508046.42062
2030.667,24160644.1358,123208.673927,507373.526853
2030.75,24128630.3981,122882.378243,506701.23836
2030.833,24096645.4931,122556.808488,506029.555355
2030.917,24064689.4308,122231.963597,505358.478048
2031.0,24032762.2213,121907.842504,504688.006647
2031.083,24000863.8743,121584.444141,504018.14136
2031.167,23968994.3995,121261.76744,503348.88239
2031.25,23937153.8066,120939.811334,502680.229939
2031.333,23905342.1051,120618.574754,502012.184206
2031.417,23873559.3043,120298.05663,501344.74539
2031.5,23841805.4135,119978.255894,500677.913684
2031.583,23810080.4421,119659.171474,500011.689283
2031.667,23778384.3989,119340.8023,499346.072377
2031.75,23746717.2931,119023.1473,498681.063154
2031.833,23715079.1334,118706.205404,498016.661802
2031.917,23683469.9287,118389.975539,497352.868503
2032.0,23651889.6876,118074.456633,496689.68344
2032.083,23620338.4187,117759.647612,496027.106793
2032.167,23588816.1305,117445.547403,495365.13874
2032.25,23557322.8312,117132.154932,494703.779455
2032.333,23525858.5291,116819.469126,494043.029112
2032.417,23494423.2325,116507.488908,493382.887882
2032.5,23463016.9492,116196.213205,492723.355934
2032.583,23431639.6873,115885.64094,492064.433434
2032.667,23400291.4546,115575.771038,491406.120547
2032.75,23368972.2588,115266.602423,490748.417436
2032.833,23337682.1076,114958.134018,490091.324259
2032.917,23306421.0084,114650.364745,489434.841176
2033.0,23275188.9687,114343.293529,488778.968343
2033.083,23243985.9958,114036.919292,488123.705912
2033.167,23212812.0969,113731.240954,487469.054035
2033.25,23181667.2792,113426.257439,486815.012862
2033.333,23150551.5495,113121.967668,486161.58254
2033.417,23119464.915,112818.370561,485508.763214
2033.5,23088407.3822,112515.46504,484856.555027
2033.583,23057378.9581,112213.250026,484204.95812
2033.667,23026379.6491,111911.724438,483553.972631
2033.75,22995409.4617,111610.887198,482903.598696
2033.833,22964468.4024,111310.737224,482253.836451
2033.917,22933556.4775,111011.273436,481604.686027
2034.0,22902673.6931,110712.494754,480956.147555
2034.083,22871820.0554,110414.400097,480308.221163
2034.167,22840995.5703,110116.988384,479660.906976
2034.25,22810200.2437,109820.258533,479014.205119
2034.333,22779434.0815,109524.209464,478368.115712
2034.417,22748697.0893,109228.840094,477722.638876
2034.5,22717989.2728,108934.149342,477077.774728
2034.583,22687310.6373,108640.136125,476433.523384
2034.667,22656661.1884,108346.799362,475789.884956
2034.75,22626040.9313,108054.13797,475146.859556
2034.833,22595449.8711,107762.150867,474504.447294
2034.917,22564888.0131,107470.83697,473862.648275
2035.0,22534355.3621,107180.195197,473221.462605
2035.083,22503851.9232,106890.224464,472580.890387
2035.167,22473377.701,106600.923689,471940.931722
2035.25,22442932.7004,106312.291789,471301.586708
2035.333,22412516.9258,106024.32768,470662.855442
2035.417,22382130.3818,105737.03028,470024.738018
2035.5,22351773.0728,105450.398505,469387.234529
2035.583,22321445.0032,105164.431272,468750.345066
2035.667,22291146.177,104879.127497,468114.069717
2035.75,22260876.5985,104594.486097,467478.408568
2035.833,22230636.2716,104310.505989,466843.361704
2035.917,22200425.2003,104027.186088,466208.929207
2036.0,22170243.3884,103744.525312,465575.111156
2036.083,22140090.8396,103462.522576,464941.907631
2036.167,22109967.5575,103181.176797,464309.318707
2036.25,22079873.5456,102900.486893,463677.344459
2036.333,22049808.8075,102620.451778,463045.984958
2036.417,22019773.3464,102341.070369,462415.240275
2036.5,21989767.1656,102062.341584,461785.110477
2036.583,21959790.2682,101784.264338,461155.595632
2036.667,21929842.6572,101506.837547,460526.695802
2036.75,21899924.3357,101230.06013,459898.41105
2036.833,21870035.3065,100953.931001,459270.741436
2036.917,21840175.5723,100678.449079,458643.687018
2037.0,21810345.1358,100403.613279,458017.247851
2037.083,21780543.9996,100129.422518,457391.423991
2037.167,21750772.1661,99855.875714,456766.215488
2037.25,21721029.6378,99582.9717833,456141.622394
2037.333,21691316.4169,99310.7096433,455517.644755
2037.417,21661632.5057,99039.0882111,454894.282619
2037.5,21631977.9061,98768.1064042,454271.536029
2037.583,21602352.6203,98497.76314,453649.405027
2037.667,21572756.6502,98228.0573361,453027.889653
2037.75,21543189.9975,97958.9879104,452406.989947
2037.833,21513652.664,97690.5537807,451786.705943
2037.917,21484144.6513,97422.7538652,451167.037677
2038.0,21454665.961,97155.5870821,450547.98518
2038.083,21425216.5945,96889.0523497,449929.548484
2038.167,21395796.5531,96623.1485867,449311.727615
2038.25,21366405.8382,96357.874712,448694.522602
2038.333,21337044.4509,96093.2296443,448077.933468
2038.417,21307712.3922,95829.2123031,447461.960237
2038.5,21278409.6632,95565.8216075,446846.602928
2038.583,21249136.2648,95303.0564773,446231.86156
2038.667,21219892.1977,95040.9158323,445617.736152
2038.75,21190677.4627,94779.3985926,445004.226716
2038.833,21161492.0603,94518.5036784,444391.333267
2038.917,21132335.9912,94258.2300103,443779.055815
2039.0,21103209.2557,93998.5765091,443167.39437
2039.083,21074111.8542,93739.5420959,442556.348939
2039.167,21045043.787,93481.125692,441945.919527
2039.25,21016005.0542,93223.3262191,441336.106137
2039.333,20986995.6558,92966.142599,440726.908773
2039.417,20958015.592,92709.5737539,440118.327432
2039.5,20929064.8625,92453.6186063,439510.362113
2039.583,20900143.4672,92198.2760791,438903.012812
2039.667,20871251.4058,91943.5450952,438296.279522
2039.75,20842388.678,91689.4245781,437690.162237
2039.833,20813555.2832,91435.9134515,437084.660946
2039.917,20784751.2209,91183.0106396,436479.775638
2040.0,20755976.4904,90930.7150667,435875.506299
2040.083,20727231.0912,90679.0256576,435271.852915
2040.167,20698515.0222,90427.9413375,434668.815467
2040.25,20669828.2827,90177.4610317,434066.393937
2040.333,20641170.8717,89927.5836661,433464.588305
2040.417,20612542.7879,89678.308167,432863.398547
2040.5,20583944.0304,89429.6334608,432262.824638
2040.583,20555374.5978,89181.5584747,431662.866554
2040.667,20526834.4888,88934.082136,431063.524265
2040.75,20498323.702,88687.2033725,430464.797741
2040.833,20469842.2358,88440.9211123,429866.686951
2040.917,20441390.0886,88195.234284,429269.191861
2041.0,20412967.2588,87950.1418167,428672.312435
2041.083,20384573.7446,87705.6426398,428076.048636
2041.167,20356209.5441,87461.7356831,427480.400426
2041.25,20327874.6554,87218.4198771,426885.367762
2041.333,20299569.0764,86975.6941524,426290.950604
2041.417,20271292.805,86733.5574403,425697.148905
2041.5,20243045.839,86492.0086724,425103.96262
2041.583,20214828.1762,86251.046781,424511.3917
2041.667,20186639.8141,86010.6706985,423919.436097
2041.75,20158480.7504,85770.8793582,423328.095757
2041.833,20130350.9823,85531.6716935,422737.370629
2041.917,20102250.5074,85293.0466386,422147.260656
2042.0,20074179.3229,85293.0466386,422147.260656
