months,capacidadhospitalaria,camasfueradeservicio,nuevascamas
2022.0,30000.0,300.0,1500.0
2022.083,30100.0,301.0,1505.0
2022.167,30200.33,302.0,1510.02
2022.25,30301.0,303.01,1515.05
2022.333,30402.0,304.02,1520.1
2022.417,30503.34,305.03,1525.17
2022.5,30605.02,306.05,1530.25
2022.583,30707.04,307.07,1535.35
2022.667,30809.4,308.09,1540.47
2022.75,30912.09,309.12,1545.6
2022.833,31015.13,310.15,1550.76
2022.917,31118.52,311.19,1555.93
2023.0,31222.25,312.22,1561.11
2023.083,31326.32,313.26,1566.32
2023.167,31430.74,314.31,1571.54
2023.25,31535.51,315.36,1576.78
2023.333,31640.63,316.41,1582.03
2023.417,31746.1,317.46,1587.3
2023.5,31851.92,318.52,1592.6
2023.583,31958.09,319.58,1597.9
2023.667,32064.62,320.65,1603.23
2023.75,32171.5,321.72,1608.58
2023.833,32278.74,322.79,1613.94
2023.917,32386.33,323.86,1619.32
2024.0,32494.29,324.94,1624.71
2024.083,32602.6,326.03,1630.13
2024.167,32711.28,327.11,1635.56
2024.25,32820.32,328.2,1641.02
2024.333,32929.72,329.3,1646.49
2024.417,33039.48,330.39,1651.97
2024.5,33149.61,331.5,1657.48
2024.583,33260.11,332.6,1663.01
2024.667,33370.98,333.71,1668.55
2024.75,33482.22,334.82,1674.11
2024.833,33593.82,335.94,1679.69
2024.917,33705.8,337.06,1685.29
2025.0,33818.16,338.18,1690.91
2025.083,33930.88,339.31,1696.54
2025.167,34043.99,340.44,1702.2
2025.25,34157.47,341.57,1707.87
2025.333,34271.32,342.71,1713.57
2025.417,34385.56,343.86,1719.28
2025.5,34500.18,345.0,1725.01
2025.583,34615.18,346.15,1730.76
2025.667,34730.57,347.31,1736.53
2025.75,34846.33,348.46,1742.32
2025.833,34962.49,349.62,1748.12
2025.917,35079.03,350.79,1753.95
2026.0,35195.96,351.96,1759.8
2026.083,35313.28,353.13,1765.66
2026.167,35430.99,354.31,1771.55
2026.25,35549.09,355.49,1777.45
2026.333,35667.59,356.68,1783.38
2026.417,35786.48,357.86,1789.32
2026.5,35905.77,359.06,1795.29
2026.583,36025.46,360.25,1801.27
2026.667,36145.54,361.46,1807.28
2026.75,36266.03,362.66,1813.3
2026.833,36386.91,363.87,1819.35
2026.917,36508.2,365.08,1825.41
2027.0,36629.9,366.3,1831.49
2027.083,36752.0,367.52,1837.6
2027.167,36874.5,368.75,1843.73
2027.25,36997.42,369.97,1849.87
2027.333,37120.74,371.21,1856.04
2027.417,37244.48,372.44,1862.22
2027.5,37368.63,373.69,1868.43
2027.583,37493.19,374.93,1874.66
2027.667,37618.17,376.18,1880.91
2027.75,37743.56,377.44,1887.18
2027.833,37869.37,378.69,1893.47
2027.917,37995.6,379.96,1899.78
2028.0,38122.26,381.22,1906.11
2028.083,38249.33,382.49,1912.47
2028.167,38376.83,383.77,1918.84
2028.25,38504.75,385.05,1925.24
2028.333,38633.1,386.33,1931.66
2028.417,38761.88,387.62,1938.09
2028.5,38891.08,388.91,1944.55
2028.583,39020.72,390.21,1951.04
2028.667,39150.79,391.51,1957.54
2028.75,39281.29,392.81,1964.06
2028.833,39412.23,394.12,1970.61
2028.917,39543.6,395.44,1977.18
2029.0,39675.42,396.75,1983.77
2029.083,39807.67,398.08,1990.38
2029.167,39940.36,399.4,1997.02
2029.25,40073.49,400.73,2003.67
2029.333,40207.07,402.07,2010.35
2029.417,40341.1,403.41,2017.05
2029.5,40475.57,404.76,2023.78
2029.583,40610.48,406.1,2030.52
2029.667,40745.85,407.46,2037.29
2029.75,40881.67,408.82,2044.08
2029.833,41017.94,410.18,2050.9
2029.917,41154.67,411.55,2057.73
2030.0,41291.85,412.92,2064.59
2030.083,41429.49,414.29,2071.47
2030.167,41567.59,415.68,2078.38
2030.25,41706.15,417.06,2085.31
2030.333,41845.17,418.45,2092.26
2030.417,41984.65,419.85,2099.23
2030.5,42124.6,421.25,2106.23
2030.583,42265.02,422.65,2113.25
2030.667,42405.9,424.06,2120.3
2030.75,42547.26,425.47,2127.36
2030.833,42689.08,426.89,2134.45
