months,toneladasdepm10enlima,incrementodepm10,disminucióndepm10
2022.0,800.0,418.64,537.17
2022.083,790.12,419.86,530.91
2022.167,780.87,421.08,525.04
2022.25,772.2,422.3,519.54
2022.333,764.1,423.52,514.39
2022.417,756.53,424.74,509.58
2022.5,749.46,425.96,505.08
2022.583,742.87,427.19,500.89
2022.667,736.72,428.41,496.98
2022.75,731.01,429.64,493.33
2022.833,725.7,430.87,489.95
2022.917,720.78,432.11,486.81
2023.0,716.22,433.34,483.89
2023.083,712.01,434.58,481.2
2023.167,708.12,435.82,478.71
2023.25,704.55,437.06,476.41
2023.333,701.27,438.3,474.31
2023.417,698.27,439.55,472.38
2023.5,695.53,440.8,470.61
2023.583,693.05,442.05,469.0
2023.667,690.8,443.31,467.55
2023.75,688.78,444.56,466.23
2023.833,686.98,445.82,465.06
2023.917,685.37,447.08,464.0
2024.0,683.96,448.35,463.07
2024.083,682.74,449.61,462.26
2024.167,681.68,450.88,461.56
2024.25,680.79,452.15,460.95
2024.333,680.06,453.43,460.45
2024.417,679.48,454.7,460.04
2024.5,679.03,455.98,459.72
2024.583,678.72,457.26,459.48
2024.667,678.53,458.55,459.33
2024.75,678.47,459.84,459.24
2024.833,678.52,461.13,459.23
2024.917,678.68,462.42,459.29
2025.0,678.94,463.72,459.42
2025.083,679.3,465.01,459.6
2025.167,679.75,466.31,459.84
2025.25,680.29,467.62,460.14
2025.333,680.91,468.92,460.5
2025.417,681.61,470.23,460.9
2025.5,682.39,471.55,461.35
2025.583,683.24,472.86,461.84
2025.667,684.16,474.18,462.38
2025.75,685.14,475.5,462.96
2025.833,686.19,476.82,463.58
2025.917,687.29,478.15,464.23
2026.0,688.45,479.47,464.92
2026.083,689.66,480.81,465.65
2026.167,690.92,482.14,466.4
2026.25,692.24,483.48,467.19
2026.333,693.59,484.82,468.0
2026.417,694.99,486.16,468.84
2026.5,696.44,487.5,469.71
2026.583,697.92,488.85,470.61
2026.667,699.44,490.2,471.52
2026.75,701.0,491.56,472.47
2026.833,702.59,492.91,473.43
2026.917,704.21,494.27,474.41
2027.0,705.87,495.63,475.41
2027.083,707.55,497.0,476.43
2027.167,709.27,498.41,477.47
2027.25,711.01,499.87,478.53
2027.333,712.79,501.39,479.61
2027.417,714.6,502.94,480.72
2027.5,716.45,504.55,481.84
2027.583,718.35,506.2,483.0
2027.667,720.28,507.9,484.18
2027.75,722.26,509.65,485.38
2027.833,724.28,511.44,486.62
2027.917,726.35,513.27,487.88
2028.0,728.46,515.15,489.17
2028.083,730.63,517.07,490.5
2028.167,732.84,519.03,491.85
2028.25,735.11,521.03,493.24
2028.333,737.42,523.08,494.66
2028.417,739.79,525.17,496.11
2028.5,742.21,527.29,497.6
2028.583,744.69,529.46,499.12
2028.667,747.22,531.67,500.67
2028.75,749.8,533.91,502.26
2028.833,752.44,536.2,503.88
2028.917,755.13,538.52,505.54
2029.0,757.88,540.88,507.23
2029.083,760.68,543.27,508.96
2029.167,763.54,545.7,510.72
2029.25,766.46,548.17,512.52
2029.333,769.43,550.67,514.35
2029.417,772.45,553.21,516.22
2029.5,775.54,555.78,518.12
2029.583,778.67,558.38,520.06
2029.667,781.87,561.02,522.03
2029.75,785.12,563.69,524.04
2029.833,788.42,566.39,526.08
2029.917,791.78,569.12,528.16
2030.0,795.19,571.88,530.27
2030.083,798.66,574.68,532.42
2030.167,802.18,577.5,534.6
2030.25,805.76,580.36,536.81
2030.333,809.39,583.24,539.06
2030.417,813.07,586.15,541.34
2030.5,816.8,589.09,543.65
2030.583,820.59,592.06,546.0
2030.667,824.43,595.06,548.38
2030.75,828.32,598.08,550.79
2030.833,832.26,601.13,553.24
2030.917,836.25,604.2,555.71
2031.0,840.29,607.3,558.22
2031.083,844.38,610.42,560.76
2031.167,848.52,613.57,563.33
2031.25,852.7,616.75,565.93
2031.333,856.94,619.94,568.56
