months,desechosurbanos,desechosurbanosgenerados,desechosurbanosreciclados
2022.0,3630000.0,616000.0,363326.7
2022.083,3651056.10833,616416.826667,365434.205883
2022.167,3671971.32673,616833.935386,367527.610093
2022.25,3692746.85384,617251.326349,369607.032601
2022.333,3713383.87832,617668.999746,371672.592381
2022.417,3733883.57893,618086.95577,373724.407415
2022.5,3754247.12463,618505.19461,375762.594704
2022.583,3774475.67462,618923.716458,377787.270273
2022.667,3794570.37847,619342.521506,379798.549181
2022.75,3814532.37616,619761.609946,381796.54553
2022.833,3834362.7982,620180.981968,383781.372472
2022.917,3854062.76566,620600.637766,385753.142215
2023.0,3873633.39029,621020.577531,387711.966034
2023.083,3893075.77458,621440.801455,389657.954277
2023.167,3912391.01184,621861.309731,391591.216375
2023.25,3931580.18629,622282.102551,393511.860846
2023.333,3950644.3731,622703.180107,395419.995303
2023.417,3969584.6385,623124.542592,397315.726467
2023.5,3988402.03984,623546.190199,399199.160168
2023.583,4007097.62568,623968.123121,401070.401354
2023.667,4025672.43582,624390.341551,402929.554102
2023.75,4044127.50144,624812.845682,404776.72162
2023.833,4062463.84512,625235.635708,406612.006258
2023.917,4080682.4809,625658.711821,408435.509514
2024.0,4098784.41443,626082.074216,410247.33204
2024.083,4116770.64294,626505.723086,412047.573652
2024.167,4134642.1554,626929.658626,413836.333334
2024.25,4152399.9325,627353.881028,415613.709244
2024.333,4170044.94682,627778.390488,417379.798727
2024.417,4187578.1628,628203.187198,419134.698315
2024.5,4205000.53687,628628.271355,420878.503736
2024.583,4222313.01751,629053.643152,422611.309922
2024.667,4239516.54528,629479.302784,424333.211017
2024.75,4256612.05293,629905.250445,426044.300377
2024.833,4273600.46543,630331.486332,427744.670585
2024.917,4290482.70008,630758.010637,429434.413451
2025.0,4307259.66651,631184.823558,431113.620021
2025.083,4323932.2668,631611.925288,432782.380584
2025.167,4340501.39553,632039.316025,434440.784678
2025.25,4356967.93981,632466.995962,436088.921095
2025.333,4373332.77938,632894.965296,437726.877888
2025.417,4389596.78666,633323.224222,439354.742377
2025.5,4405760.82682,633751.772937,440972.601156
2025.583,4421825.7578,634180.611637,442580.540098
2025.667,4437792.43043,634609.740517,444178.644361
2025.75,4453661.68844,635039.159775,445766.998396
2025.833,4469434.36856,635468.869607,447345.685949
2025.917,4485111.30053,635898.870208,448914.79007
2026.0,4500693.30721,636329.161777,450474.393118
2026.083,4516181.20459,636759.74451,452024.576768
2026.167,4531575.80191,637190.618604,453565.422013
2026.25,4546877.90162,637621.784256,455097.009173
