months,hombresenfermos,hombrescurados,hombresfallecidos
2022.0,34470.0,25.8525,16.114725
2022.083,36914.5027313,41.5288155727,17.2575300269
2022.167,39329.0147434,44.2451415864,18.3863143926
2022.25,41716.4874782,46.931048413,19.5024578961
2022.333,44078.6986289,49.5885359576,20.606791609
2022.417,46417.3344986,52.2195013109,21.7001038781
2022.5,48733.9947643,54.8257441098,22.7831425523
2022.583,51030.1969933,57.4089716175,23.8566170944
2022.667,53307.3809237,59.9708035392,24.9212005818
2022.75,55566.9125209,62.512776586,25.9775316035
2022.833,57810.0878231,65.036348801,27.0262160573
2022.917,60038.1365859,67.5429036591,28.0678288539
2023.0,62252.2257369,70.033753954,29.102915532
2023.083,64453.4626499,72.5101454811,30.1319937888
2023.167,66642.8982482,74.9732605292,31.155554931
2023.25,68821.5299467,77.42422119,32.1740652501
2023.333,70990.3044399,79.8640924949,33.1879673256
2023.417,73150.1203447,82.2938853877,34.1976812611
2023.5,75301.8307056,84.7145595438,35.2036058549
2023.583,77446.2453692,87.1270260403,36.2061197101
2023.667,79584.1332348,89.5321498892,37.2055822873
2023.75,81716.2243878,91.9307524363,38.2023349013
2023.833,83843.212122,94.3236136373,39.1967016671
2023.917,85965.7548562,96.7114742133,40.1889903953
2024.0,88084.4779513,99.0950376952,41.1794934422
2024.083,90199.9754323,101.474972361,42.1684885146
2024.167,92312.8116211,103.851913074,43.1562394329
2024.25,94423.5226839,106.226463019,44.1429968547
2024.333,96532.6180976,108.59919536,45.1289989607
2024.417,98640.582041,110.970654796,46.1144721042
2024.5,100747.874712,113.341359051,47.0996314278
2024.583,102854.933577,115.711800274,48.0846814473
2024.667,104962.174556,118.082446376,49.0698166051
2024.75,107069.993145,120.453742289,50.0552217955
2024.833,109178.765479,122.826111164,51.0410728615
2024.917,111288.849342,125.199955509,52.0275370672
2025.0,113400.585121,127.575658261,53.0147735441
2025.083,115514.296717,129.953583807,54.0029337152
2025.167,117630.292399,132.334078949,54.9921616966
2025.25,119748.865622,134.717473825,55.9825946783
2025.333,121870.295797,137.104082772,56.9743632852
2025.417,123994.849025,139.494205153,57.967591919
2025.5,126122.778787,141.888126135,58.9623990829
2025.583,128254.326607,144.286117433,59.9588976886
2025.667,130389.72267,146.688438004,60.9571953483
2025.75,132529.186418,149.095334721,61.9573946506
2025.833,134672.927106,151.507042995,62.9595934222
2025.917,136821.144336,153.923787378,63.963884977
2026.0,138974.028557,156.345782127,64.9703583504
2026.083,141131.761547,158.77323174,65.9790985232
2026.167,143294.516861,161.206331469,66.9901866326
2026.25,145462.460263,163.645267796,68.0037001728
2026.333,147635.750129,166.090218895,69.0197131854
2026.417,149814.537837,168.541355067,70.0382964389
2026.5,151998.968128,170.998839144,71.0595176
2026.583,154189.179455,173.462826887,72.0834413951
2026.667,156385.304308,175.933467347,73.1101297641
2026.75,158587.469531,178.410903222,74.1396420058
2026.833,160795.796611,180.895271187,75.1720349155
2026.917,163010.401959,183.386702204,76.207362916
2027.0,165231.39718,185.885321828,77.2456781818
2027.083,167458.889317,188.391250481,78.2870307556
2027.167,169692.981093,190.904603729,79.3314686609
2027.25,171933.771137,193.425492529,80.3790380066
2027.333,174181.366635,195.954037464,81.4297889018
2027.417,176435.882751,198.490368095,82.4837751862
2027.5,178697.442083,201.034622344,83.5410541739
2027.583,180966.174142,203.586945909,84.6016864113
2027.667,183242.214862,206.14749172,85.665735448
2027.75,185525.706138,208.716419405,86.7332676194
2027.833,187816.795382,211.293894805,87.804351841
2027.917,190115.635109,213.880089498,88.8790594137
2028.0,192422.382543,216.475180361,89.957463839
2028.083,194737.199241,219.079349146,91.0396406451
2028.167,197060.25074,221.692782082,92.1256672209
2028.25,199391.706224,224.315669502,93.2156226597
2028.333,201731.738206,226.948205482,94.3095876114
2028.417,204080.522229,229.590587507,95.4076441419
2028.5,206438.236579,232.243016151,96.5098756007
2028.583,208805.062021,234.905694774,97.6163664949
2028.667,211181.181543,237.578829236,98.7272023713
2028.75,213566.780113,240.262627628,99.842469703
2028.833,215962.044457,242.957300014,100.962255784
2028.917,218367.162839,245.663058194,102.086648627
2029.0,220782.324859,248.380115467,103.215736872
2029.083,223207.721263,251.108686421,104.349609691
2029.167,225643.543759,253.848986728,105.488356707
2029.25,228089.984843,256.601232948,106.632067914
2029.333,230547.237642,259.365642347,107.780833598
2029.417,233015.495756,262.142432725,108.934744266
2029.5,235494.953114,264.931822254,110.093890581
2029.583,237985.803839,267.734029319,111.258363295
2029.667,240488.242115,270.54927238,112.428253189
2029.75,243002.462068,273.377769827,113.603651017
2029.833,245528.65765,276.219739856,114.784647451
2029.917,248067.022526,279.075400342,115.971333031
2030.0,250617.74998,281.944968728,117.163798116
2030.083,253181.03281,284.828661911,118.362132839
2030.167,255757.063239,287.726696144,119.566427064
2030.25,258346.032832,290.639286936,120.776770349
2030.333,260948.13241,293.566648962,121.993251902
2030.417,263563.551978,296.508995975,123.21596055
2030.5,266192.480649,299.46654073,124.444984703
2030.583,268835.106579,302.439494901,125.680412326
2030.667,271491.616902,305.428069014,126.922330902
2030.75,274162.197671,308.432472379,128.170827411
2030.833,276847.0338,311.452913025,129.425988301
2030.917,279546.309013,314.48959764,130.687899464
2031.0,282260.205794,317.542731518,131.956646209
2031.083,284988.905337,320.612518504,133.232313245
2031.167,287732.587507,323.699160945,134.51498466
2031.25,290491.430796,326.802859646,135.804743897
2031.333,293265.612285,329.923813821,137.101673743
2031.417,296055.30761,333.062221061,138.405856308
2031.5,298860.690924,336.21827729,139.717373007
2031.583,301681.934871,339.39217673,141.036304552
2031.667,304519.210553,342.584111872,142.362730933
2031.75,307372.687502,345.79427344,143.696731407
2031.833,310242.53366,349.022850367,145.038384486
2031.917,313128.915348,352.270029766,146.387767925
2032.0,316031.997249,355.535996905,147.744958714
2032.083,318951.942387,358.820935185,149.110033066
2032.167,321888.912106,362.125026119,150.483066409
2032.25,324843.066054,365.448449311,151.86413338
2032.333,327814.562168,368.791382439,153.253307814
2032.417,330803.556003,372.154000503,154.650662431
2032.5,333810.200106,375.536475119,156.05626855
2032.583,336834.643436,378.938973865,157.470195806
2032.667,339877.030815,382.361659667,158.892511906
2032.75,342937.502425,385.804690228,160.323282384
2032.833,346016.193336,389.268217503,161.762570385
2032.917,349113.233066,392.752387199,163.210436458
2033.0,352228.745175,396.257338322,164.66693837
2033.083,355362.846894,399.783202756,166.132130923
2033.167,358515.648769,403.330104865,167.6060658
2033.25,361687.254347,406.89816114,169.088791407
2033.333,364877.759874,410.487479858,170.580352741
2033.417,368087.254031,414.098160785,172.080791259
2033.5,371315.817678,417.730294888,173.590144765
2033.583,374563.523633,421.383964087,175.108447298
2033.667,377830.436458,425.059241016,176.635729044
2033.75,381116.61228,428.756188815,178.172016241
2033.833,384422.098613,432.47486094,179.717331102
2033.917,387746.934212,436.215300989,181.271691744
2034.0,391091.148933,439.97754255,182.835112126
2034.083,394454.763614,443.761609066,184.40760199
