months,mujeresenfermas,mujerescuradas,mujeresfallecidas
2022.0,31460.0,18.876,9.35935
2022.083,32945.6470542,29.6510823487,9.80132999861
2022.167,34412.9816493,30.9716834844,10.2378620407
2022.25,35863.9289461,32.2775360515,10.6695188615
2022.333,37299.5689575,33.5696120617,11.0966217649
2022.417,38720.9261809,34.8488335628,11.5194755388
2022.5,40128.9724927,36.1160752435,11.9383693166
2022.583,41524.6298915,37.3721669023,12.3535773927
2022.667,42908.773098,38.6178957882,12.7653599967
2022.75,44282.2320199,39.8540088179,13.1739640259
2022.833,45645.7940875,41.0812146788,13.579623741
2022.917,47000.2064674,42.3001858207,13.9825614241
2023.0,48346.1781615,43.5115603454,14.3829880031
2023.083,49684.3819955,44.715943796,14.7811036437
2023.167,51015.4565045,45.913910854,15.1770983101
2023.25,52340.0077196,47.1060069476,15.5711522966
2023.333,53658.6108621,48.2927497759,15.9634367315
2023.417,54971.8119486,49.4746307537,16.3541140547
2023.5,56280.1293127,50.6521163814,16.7433384705
2023.583,57584.0550477,51.8256495429,17.1312563767
2023.667,58884.0563734,52.995650736,17.5180067711
2023.75,60180.5769323,54.1625192391,17.9037216374
2023.833,61474.0380182,55.3266342164,18.2885263104
2023.917,62764.8397399,56.4883557659,18.6725398226
2024.0,64053.3621257,57.6480259131,19.0558752324
2024.083,65339.9661689,58.805969552,19.4386399352
2024.167,66624.99482,59.962495338,19.8209359589
2024.25,67908.7739263,61.1178965337,20.2028602431
2024.333,69191.6131233,62.272451811,20.5845049042
2024.417,70473.8066791,63.4264260112,20.965957487
2024.5,71755.6342951,64.5800708655,21.3473012028
2024.583,73037.3618646,65.7336256782,21.7286151547
2024.667,74319.242193,66.8873179737,22.1099745524
2024.75,75601.5156789,68.041364111,22.4914509145
2024.833,76884.4109607,69.1959698646,22.8731122608
2024.917,78168.1455299,70.3513309769,23.2550232951
2025.0,79452.9263112,71.50763368,23.6372455776
2025.083,80738.9502135,72.6650551921,24.0198376885
2025.167,82026.4046518,73.8237641866,24.4028553839
2025.25,83315.468042,74.9839212378,24.7863517425
2025.333,84606.3102697,76.1456792428,25.1703773052
2025.417,85899.093135,77.3091838215,25.5549802077
2025.5,87193.9707738,78.4745736964,25.9402063052
2025.583,88491.0900572,79.6419810515,26.326099292
2025.667,89790.5909706,80.8115318735,26.7127008138
2025.75,91092.6069723,81.9833462751,27.1000505743
2025.833,92397.265334,83.1575388006,27.4881864369
2025.917,93704.6874632,84.3342187169,27.8771445203
2026.0,95014.9892093,85.5134902884,28.2669592898
2026.083,96328.2811532,86.6954530379,28.6576636431
2026.167,97644.6688822,87.880201994,29.0492889925
2026.25,98964.2532506,89.0678279255,29.441865342
2026.333,100287.130626,90.2584175637,29.8354213613
2026.417,101613.393126,91.452053813,30.2299844548
2026.5,102943.128834,92.6488159505,30.6255808281
2026.583,104276.422017,93.8487798156,31.0222355501
2026.667,105613.353321,95.0520179892,31.4199726131
2026.75,106953.99996,96.258599964,31.8188149881
2026.833,108298.435895,97.4685923057,32.2187846788
2026.917,109646.732006,98.6820588057,32.6199027719
2027.0,110998.956252,99.8990606265,33.0221894849
2027.083,112355.17382,101.119656438,33.4256642116
2027.167,113715.447278,102.34390255,33.8303455652
2027.25,115079.836703,103.571853033,34.2362514191
