months,ni–osenfermos,ni–oscurados,ni–osfallecidos
2022.0,4070.0,0.6105,0.34595
2022.083,4933.92029583,1.11013206656,0.419383225146
2022.167,5787.70255658,1.30223307523,0.491954717309
2022.25,6632.03257837,1.49220733013,0.563722769162
2022.333,7467.53676013,1.68019577103,0.634740624611
2022.417,8294.80931239,1.86633209529,0.705058791554
2022.5,9114.4139355,2.05074313549,0.774725184518
2022.583,9926.88541027,2.23354921731,0.843785259873
2022.667,10732.7311055,2.41486449874,0.91228214397
2022.75,11532.4324071,2.59479729161,0.980256754607
2022.833,12326.4460723,2.77345036626,1.04774791614
2022.917,13115.2055132,2.95092124046,1.11479246862
2023.0,13899.1220138,3.12730245311,1.18142537118
2023.083,14678.5858833,3.30268182375,1.24767980008
2023.167,15453.9675488,3.47714269849,1.31358724165
2023.25,16225.6185919,3.65076418317,1.37917758031
2023.333,16993.8727302,3.82362136429,1.44447918207
2023.417,17759.0467488,3.99578551848,1.50951897365
2023.5,18521.4413822,4.16732431099,1.57432251748
2023.583,19281.3421507,4.3383019839,1.63891408281
2023.667,20039.0201533,4.50877953448,1.70331671303
2023.75,20794.7328188,4.67881488424,1.7675522896
2023.833,21548.7246185,4.84846303917,1.83164159258
2023.917,22301.227741,5.01777624172,1.89560435798
2024.0,23052.462732,5.18680411469,1.95945933222
2024.083,23802.6391013,5.35559379779,2.02322432361
2024.167,24551.9558976,5.52419007696,2.0869162513
2024.25,25300.6022536,5.69263550707,2.15055119156
2024.333,26048.7579025,5.86097052807,2.21414442172
2024.417,26796.5936679,6.02923357527,2.27771046177
2024.5,27544.2719278,6.19746118375,2.34126311386
2024.583,28291.9470549,6.36568808734,2.40481549966
2024.667,29039.7658335,6.53394731254,2.46838009585
2024.75,29787.8678551,6.70227026741,2.53196876769
2024.833,30536.3858932,6.87068682596,2.59559280092
2024.917,31285.4462581,7.03922540807,2.65926293194
2025.0,32035.1691344,7.20791305524,2.72298937643
2025.083,32785.6688999,7.37677550247,2.78678185649
2025.167,33537.054428,7.54583724631,2.85064962638
2025.25,34289.4293752,7.71512160942,2.91460149689
2025.333,35042.8924523,7.88465080177,2.97864585845
2025.417,35797.5376827,8.05444597862,3.04279070303
2025.5,36553.4546467,8.2245272955,3.10704364497
2025.583,37310.7287127,8.39491396036,3.17141194058
2025.667,38069.4412574,8.56562428292,3.23590250688
2025.75,38829.6698736,8.73667572157,3.30052193926
2025.833,39591.4885676,8.9080849277,3.36527652824
2025.917,40354.9679459,9.07986778784,3.43017227541
2026.0,41120.1753934,9.25203946351,3.49521490844
2026.083,41887.1752404,9.42461442909,3.56040989543
2026.167,42656.0289227,9.59760650761,3.62576245843
2026.25,43426.7951323,9.77102890477,3.69127758624
2026.333,44199.5299606,9.94489424114,3.75696004665
2026.417,44974.2870344,10.1192145827,3.82281439792
2026.5,45751.1176441,10.2940014699,3.88884499974
2026.583,46530.0708659,10.4692659448,3.9550560236
2026.667,47311.1936776,10.6450185775,4.0214514626
2026.75,48094.531068,10.8212694903,4.08803514078
2026.833,48880.1261406,10.9980283816,4.15481072195
2026.917,49668.0202126,11.1753045478,4.22178171807
2027.0,50458.2529078,11.3531069043,4.28895149716
2027.083,51250.8622453,11.5314440052,4.35632329085
2027.167,52045.8847233,11.7103240627,4.42390020148
2027.25,52843.3553988,11.8897549647,4.4916852089
2027.333,53643.3123525,12.0697452793,4.55968154996
2027.417,54445.7964852,12.2503042092,4.62789270124
2027.5,55250.8513255,12.4314415482,4.69632236266
2027.583,56058.5228465,12.6131676405,4.76497444195
2027.667,56868.8592937,12.7954933411,4.83385303997
2027.75,57681.9110208,12.9784299797,4.90296243677
2027.833,58497.7303347,13.1619893253,4.97230707845
2027.917,59316.3713486,13.3461835534,5.04189156463
2028.0,60137.889843,13.5310252147,5.11172063665
2028.083,60962.3431342,13.7165272052,5.18179916641
2028.167,61789.7899494,13.9027027386,5.2521321457
2028.25,62620.2903091,14.0895653195,5.32272467627
2028.333,63453.9054147,14.2771287183,5.39358196025
2028.417,64290.6975436,14.4654069473,5.4647092912
2028.5,65130.7299486,14.6544142384,5.53611204563
2028.583,65974.0667636,14.8441650218,5.6077956749
2028.667,66820.7729135,15.0346739055,5.67976569765
2028.75,67670.9140302,15.2259556568,5.75202769256
2028.833,68524.5563714,15.4180251836,5.82458729157
2028.917,69381.766746,15.6108975178,5.89745017341
2029.0,70242.612441,15.8045877992,5.97062205749
2029.083,71107.161155,15.9991112599,6.04410869817
2029.167,71975.4809329,16.1944832099,6.1179158793
2029.25,72847.6401061,16.3907190239,6.19204940902
2029.333,73723.7072349,16.5878341279,6.26651511497
2029.417,74603.7510542,16.7858439872,6.3413188396
