months,personasenfermas,personasfallecidas',personascuradas'
2022.0,700000.0,1050.0,595.0
2022.083,704662.916667,1585.4915625,598.963479167
2022.167,709224.821637,1595.75584868,602.841098392
2022.25,713733.158211,1605.89960597,606.673184479
2022.333,718191.418863,1615.93069244,610.462706034
2022.417,722602.916433,1625.85656198,614.212478968
2022.5,726970.793489,1635.68428535,617.925174466
2022.583,731298.031204,1645.42057021,621.603326523
2022.667,735587.457767,1655.07177998,625.249339102
2022.75,739841.756361,1664.64395181,628.865492907
2022.833,744063.47272,1674.14281362,632.453951812
2022.917,748255.02229,1683.57380015,636.016768947
2023.0,752418.697022,1692.9420683,639.555892468
2023.083,756556.671803,1702.25251156,643.073171033
2023.167,760671.010565,1711.50977377,646.57035898
2023.25,764763.672057,1720.71826213,650.049121248
2023.333,768836.515331,1729.8821595,653.511038032
2023.417,772891.304937,1739.00543611,656.957609196
2023.5,776929.715843,1748.09186065,660.390258466
2023.583,780953.338106,1757.14501074,663.81033739
2023.667,784963.681293,1766.16828291,667.219129099
2023.75,788962.178677,1775.16490202,670.617851875
2023.833,792950.191208,1784.13793022,674.007662527
2023.917,796929.011285,1793.09027539,677.389659593
2024.0,800899.866324,1802.02469923,680.764886376
2024.083,804863.922144,1810.94382482,684.134333822
2024.167,808822.286174,1819.85014389,687.498943248
2024.25,812776.010499,1828.74602362,690.859608925
2024.333,816726.09474,1837.63371317,694.217180529
2024.417,820673.488786,1846.51534977,697.572465468
2024.5,824619.095386,1855.39296462,700.926231078
2024.583,828563.772605,1864.26848836,704.279206714
2024.667,832508.336152,1873.14375634,707.632085729
2024.75,836453.561586,1882.02051357,710.985527348
2024.833,840400.186404,1890.90041941,714.340158443
2024.917,844348.912031,1899.78505207,717.696575226
2025.0,848300.405694,1908.67591281,721.05534484
2025.083,852255.302204,1917.57442996,724.417006873
2025.167,856214.205647,1926.48196271,727.7820748
2025.25,860177.690983,1935.39980471,731.151037335
2025.333,864146.305565,1944.32918752,734.52435973
2025.417,868120.570576,1953.27128379,737.902484989
2025.5,872100.982393,1962.22721038,741.285835034
2025.583,876088.013881,1971.19803123,744.674811799
2025.667,880082.115618,1980.18476014,748.069798275
2025.75,884083.717053,1989.18836337,751.471159495
2025.833,888093.227614,1998.20976213,754.879243472
2025.917,892111.037744,2007.24983492,758.294382082
2026.0,896137.519897,2016.30941977,761.716891912
2026.083,900173.029472,2025.38931631,765.147075051
2026.167,904217.905704,2034.49028783,768.585219849
2026.25,908272.472506,2043.61306314,772.03160163
2026.333,912337.039269,2052.75833836,775.486483379
2026.417,916411.901617,2061.92677864,778.950116374
2026.5,920497.342128,2071.11901979,782.422740809
2026.583,924593.631013,2080.33566978,785.904586361
2026.667,928701.026761,2089.57731021,789.395872747
2026.75,932819.776753,2098.84449769,792.89681024
2026.833,936950.117836,2108.13776513,796.407600161
2026.917,941092.276882,2117.45762298,799.928435349
2027.0,945246.471297,2126.80456042,803.459500603
2027.083,949412.909527,2136.17904644,807.000973098
2027.167,953591.791518,2145.58153092,810.55302279
2027.25,957783.309162,2155.01244561,814.115812788
2027.333,961987.671105,2164.47225999,817.68952044
2027.417,966205.101614,2173.96147863,821.274336372
2027.5,970435.8395,2183.48063887,824.870463575
2027.583,974680.137101,2193.03030848,828.478116536
2027.667,978938.25932,2202.61108347,832.097520422
2027.75,983210.48271,2212.2235861,835.728910303
2027.833,987497.094612,2221.86846288,839.372530421
2027.917,991798.392336,2231.54638276,843.028633486
2028.0,996114.682385,2241.25803537,846.697480027
2028.083,1000446.27972,2251.00412937,850.379337764
2028.167,1004793.50708,2260.78539092,854.074481015
2028.25,1009156.69429,2270.60256214,857.783190143
2028.333,1013536.17768,2280.45639977,861.505751025
2028.417,1017932.29947,2290.3476738,865.242454548
2028.5,1022345.40722,2300.27716625,868.99359614
2028.583,1026775.85332,2310.24566997,872.759475323
2028.667,1031223.99445,2320.25398751,876.54039528
2028.75,1035690.19114,2330.30293006,880.336662467
2028.833,1040174.80732,2340.39331647,884.148586221
2028.917,1044678.20989,2350.52597226,887.976478411
2029.0,1049200.76834,2360.70172877,891.820653091
2029.083,1053742.85434,2370.92142226,895.681426187
2029.167,1058304.84139,2381.18589314,899.559115185
2029.25,1062887.10453,2391.4959852,903.454038852
2029.333,1067490.01995,2401.85254489,907.36651696
2029.417,1072113.96474,2412.25642067,911.296870032
2029.5,1076759.31659,2422.70846233,915.245419102
2029.583,1081426.45351,2433.20952039,919.212485481
2029.667,1086115.75359,2443.76044557,923.198390548
2029.75,1090827.59476,2454.3620882,927.203455542
2029.833,1095562.35455,2465.01529775,931.228001371
2029.917,1100320.40992,2475.72092231,935.27234843
2030.0,1105102.13698,2486.4798082,939.336816432
2030.083,1109907.91087,2497.29279947,943.421724243
2030.167,1114738.10557,2508.16073753,947.527389735
2030.25,1119593.09369,2519.0844608,951.654129637
2030.333,1124473.24636,2530.0648043,955.802259403
2030.417,1129378.93304,2541.10259934,959.972093085
2030.5,1134310.52143,2552.19867321,964.163943212
2030.583,1139268.37727,2563.35384885,968.378120677
2030.667,1144252.86427,2574.56894461,972.614934632
2030.75,1149264.34399,2585.84477397,976.874692389
2030.833,1154303.17567,2597.18214527,981.157699323
2030.917,1159369.71622,2608.5818615,985.464258787
2031.0,1164464.32003,2620.04472008,989.794672029
2031.083,1169587.33896,2631.57151265,994.149238113
2031.167,1174739.12217,2643.16302489,998.528253848
2031.25,1179920.01614,2654.82003631,1002.93201372
2031.333,1185130.36449,2666.54332011,1007.36080982
2031.417,1190370.508,2678.333643,1011.8149318
2031.5,1195640.78448,2690.19176509,1016.29466681
2031.583,1200941.52875,2702.1184397,1020.80029944
2031.667,1206273.07256,2714.11441327,1025.33211168
2031.75,1211635.74454,2726.18042522,1029.89038286
2031.833,1217029.87016,2738.31720786,1034.47538964
2031.917,1222455.77167,2750.52548627,1039.08740592
2032.0,1227913.76809,2762.80597819,1043.72670287
2032.083,1233404.1751,2775.15939398,1048.39354884
2032.167,1238927.3051,2787.58643648,1053.08820934
2032.25,1244483.46709,2800.08780096,1057.81094703
2032.333,1250072.9667,2812.66417508,1062.5620217
2032.417,1255696.10483,2825.31623587,1067.3416891
2032.5,1261353.17646,2838.04464703,1072.15019999
2032.583,1267044.46948,2850.85005634,1076.98779906
2032.667,1272770.26367,2863.73309326,1081.85472412
2032.75,1278530.82963,2876.69436668,1086.75120519
2032.833,1284326.42795,2889.73446288,1091.67746375
2032.917,1290157.30825,2902.85394356,1096.63371201
2033.0,1296023.70848,2916.05334409,1101.62015221
2033.083,1301925.85414,2929.33317182,1106.63697602
2033.167,1307863.95758,2942.69390456,1111.68436394
2033.25,1313838.21742,2956.13598918,1116.7624848
2033.333,1319848.81792,2969.65984031,1121.87149523
2033.417,1325895.92849,2983.26583911,1127.01153922
2033.5,1331979.70321,2996.95433222,1132.18274773
2033.583,1338100.28033,3010.72563074,1137.38523828
2033.667,1344257.78193,3024.58000934,1142.61911464
2033.75,1350452.31351,3038.51770539,1147.88446648
2033.833,1356683.96369,3052.5389183,1153.18136913
2033.917,1362952.80389,3066.64380875,1158.50988331
2034.0,1369258.88808,3080.83249818,1163.87005487
2034.083,1375602.25255,3095.10506823,1169.26191466
2034.167,1381982.91567,3109.46156026,1174.68547832
2034.25,1388400.87776,3123.90197497,1180.1407461
2034.333,1394856.12091,3138.42627204,1185.62770277
2034.417,1401348.60883,3153.03436988,1191.14631751
2034.5,1407878.2868,3167.7261453,1196.69654378
2034.583,1414445.08152,3182.50143343,1202.27831929
2034.667,1421048.90109,3197.36002746,1207.89156593
2034.75,1427689.63494,3212.30167862,1213.5361897
2034.833,1434367.15382,3227.32609609,1219.21208075
2034.917,1441081.30976,3242.43294696,1224.9191133
2035.0,1447831.93611,3257.62185624,1230.65714569
2035.083,1454618.84752,3272.89240692,1236.42602039
2035.167,1461441.84002,3288.24414004,1242.22556402
2035.25,1468300.69102,3303.6765548,1248.05558737
2035.333,1475195.1594,3319.18910865,1253.91588549
2035.417,1482124.98557,3334.78121753,1259.80623773
2035.5,1489089.89155,3350.45225598,1265.72640782
2035.583,1496089.58106,3366.2015574,1271.67614391
2035.667,1503123.73965,3382.02841422,1277.65517871
2035.75,1512056.18529,3402.12641691,1285.2477575
2035.833,1521030.83838,3422.31938636,1292.87621262
2035.917,1530047.2385,3442.60628662,1300.54015272
2036.0,1539104.90311,3462.98603201,1308.23916765
2036.083,1548203.32774,3483.45748742,1315.97282858
2036.167,1557341.98614,3504.01946882,1323.74068822
2036.25,1566520.33052,3524.67074367,1331.54228094
2036.333,1575737.79172,3545.41003136,1339.37712296
2036.417,1584993.77942,3566.23600369,1347.2447125
2036.5,1594287.68237,3587.14728534,1355.14453002
2036.583,1603618.86862,3608.14245439,1363.07603832
2036.667,1612986.68569,3629.22004281,1371.03868284
2036.75,1622390.46089,3650.378537,1379.03189175
2036.833,1631829.50145,3671.61637826,1387.05507623
2036.917,1641303.09486,3692.93196343,1395.10763063
2037.0,1650810.50904,3714.32364534,1403.18893268
2037.083,1660350.99264,3735.78973343,1411.29834374
2037.167,1669923.77524,3757.32849428,1419.43520895
2037.25,1679528.06765,3778.93815221,1427.5988575
2037.333,1689163.06215,3800.61688983,1435.78860283
2037.417,1698827.93273,3822.36284865,1444.00374282
2037.5,1708521.83547,3844.17412982,1452.24356015
2037.583,1718243.90895,3866.04879513,1460.50732261
2037.667,1727993.27473,3887.98486814,1468.79428352
2037.75,1737769.03796,3909.98033542,1477.10368227
2037.833,1747570.28801,3932.03314803,1485.43474481
2037.917,1757396.09915,3954.14122308,1493.78668427
2038.0,1767245.53128,3976.30244538,1502.15870159
2038.083,1777117.6308,3998.5146693,1510.54998618
2038.167,1787011.43141,4020.77572067,1518.9597167
2038.25,1796925.955,4043.08339874,1527.38706175
2038.333,1806860.2126,4065.43547835,1535.83118071
2038.417,1816813.20536,4087.82971207,1544.29122456
2038.5,1826783.92553,4110.26383245,1552.7663367
2038.583,1836771.35749,4132.73555436,1561.25565387
2038.667,1846774.47882,4155.24257735,1569.758307
2038.75,1856792.26139,4177.78258812,1578.27342218
2038.833,1866823.67243,4200.35326297,1586.80012157
2038.917,1876867.6757,4222.95227033,1595.33752435
2039.0,1886923.23261,4245.57727336,1603.88474771
2039.083,1896989.30334,4268.22593252,1612.44090784
2039.167,1907064.84808,4290.89590819,1621.00512087
2039.25,1917148.82815,4313.58486335,1629.57650393
2039.333,1927240.20722,4336.29046624,1638.15417613
2039.417,1937337.95246,4359.01039304,1646.73725959
2039.5,1947441.03582,4381.7423306,1655.32488045
2039.583,1957548.43515,4404.4839791,1663.91616988
2039.667,1967659.13547,4427.23305481,1672.51026515
2039.75,1977772.13014,4449.98729281,1681.10631062
2039.833,1987886.42208,4472.74444967,1689.70345877
2039.917,1998001.02499,4495.50230622,1698.30087124
2040.0,2008114.96454,4518.25867022,1706.89771986
2040.083,2018227.27959,4541.01137909,1715.49318765
2040.167,2028337.02337,4563.75830257,1724.08646986
