months,hombres,defhom,emihom,nachom,inmhom
2022,5100000.0,25806.0,2550.0,26270.1,15680.0
2022.083333,5101526.17,25813.72,2550.76,26277.96,15685.92
2022.166667,5103052.81,25821.45,2551.53,26285.83,15691.84
2022.25,5104579.9,25829.17,2552.29,26293.69,15697.76
2022.333333,5106107.44,25836.9,2553.05,26301.56,15703.68
2022.416667,5107635.44,25844.64,2553.82,26309.43,15709.61
2022.5,5109163.9,25852.37,2554.58,26317.3,15715.54
2022.583333,5110692.82,25860.11,2555.35,26325.18,15721.47
2022.666667,5112222.2,25867.84,2556.11,26333.06,15727.41
2022.75,5113752.03,25875.59,2556.88,26340.94,15733.34
2022.833333,5115282.32,25883.33,2557.64,26348.82,15739.28
2022.916667,5116813.07,25891.07,2558.41,26356.7,15745.22
2023,5118344.27,25898.82,2559.17,26364.59,15751.16
2023.083333,5119875.94,25906.57,2559.94,26372.48,15757.11
2023.166667,5121408.06,25914.32,2560.7,26380.37,15763.05
2023.25,5122940.64,25922.08,2561.47,26388.27,15769.0
2023.333333,5124473.68,25929.84,2562.24,26396.16,15774.95
2023.416667,5126007.18,25937.6,2563.0,26404.06,15780.91
2023.5,5127541.14,25945.36,2563.77,26411.96,15786.86
2023.583333,5129075.55,25953.12,2564.54,26419.87,15792.82
2023.666667,5130610.43,25960.89,2565.31,26427.77,15798.78
2023.75,5132145.77,25968.66,2566.07,26435.68,15804.75
2023.833333,5133681.56,25976.43,2566.84,26443.59,15810.71
2023.916667,5135217.81,25984.2,2567.61,26451.51,15816.68
2024,5136754.53,25991.98,2568.38,26459.42,15822.65
2024.083333,5138291.7,25999.76,2569.15,26467.34,15828.62
2024.166667,5139829.34,26007.54,2569.91,26475.26,15834.59
2024.25,5141367.43,26015.32,2570.68,26483.18,15840.57
2024.333333,5142905.98,26023.1,2571.45,26491.11,15846.55
2024.416667,5144445.0,26030.89,2572.22,26499.04,15852.53
2024.5,5145984.47,26038.68,2572.99,26506.97,15858.51
2024.583333,5147524.41,26046.47,2573.76,26514.9,15864.5
2024.666667,5149064.81,26054.27,2574.53,26522.83,15870.48
2024.75,5150605.66,26062.06,2575.3,26530.77,15876.47
2024.833333,5152146.98,26069.86,2576.07,26538.71,15882.47
2024.916667,5153688.76,26077.67,2576.84,26546.65,15888.46
2025,5155231.0,26085.47,2577.62,26554.59,15894.46
2025.083333,5156773.71,26093.27,2578.39,26562.54,15900.46
2025.166667,5158316.87,26101.08,2579.16,26570.49,15906.46
2025.25,5159860.5,26108.89,2579.93,26578.44,15912.46
2025.333333,5161404.59,26116.71,2580.7,26586.4,15918.47
2025.416667,5162949.14,26124.52,2581.47,26594.35,15924.47
2025.5,5164494.15,26132.34,2582.25,26602.31,15930.48
2025.583333,5166039.62,26140.16,2583.02,26610.27,15936.5
2025.666667,5167585.56,26147.98,2583.79,26618.23,15942.51
2025.75,5169131.96,26155.81,2584.57,26626.2,15948.53
2025.833333,5170678.82,26163.63,2585.34,26634.17,15954.55
2025.916667,5172226.15,26171.46,2586.11,26642.14,15960.57
2026,5173773.94,26179.3,2586.89,26650.11,15966.59
2026.083333,5175322.19,26187.13,2587.66,26658.08,15972.62
2026.166667,5176870.91,26194.97,2588.44,26666.06,15978.65
2026.25,5178420.08,26202.81,2589.21,26674.04,15984.68
2026.333333,5179969.73,26210.65,2589.98,26682.02,15990.71
2026.416667,5181519.83,26218.49,2590.76,26690.01,15996.75
2026.5,5183070.4,26226.34,2591.54,26698.0,16002.78
2026.583333,5184621.44,26234.18,2592.31,26705.99,16008.82
2026.666667,5186172.93,26242.04,2593.09,26713.98,16014.87
2026.75,5187724.9,26249.89,2593.86,26721.97,16020.91
2026.833333,5189277.32,26257.74,2594.64,26729.97,16026.96
2026.916667,5190830.21,26265.6,2595.42,26737.97,16033.0
2027,5192383.57,26273.46,2596.19,26745.97,16039.06
2027.083333,5193937.39,26281.32,2596.97,26753.97,16045.11
2027.166667,5195491.68,26289.19,2597.75,26761.98,16051.17
2027.25,5197046.43,26297.05,2598.52,26769.99,16057.22
2027.333333,5198601.64,26304.92,2599.3,26778.0,16063.28
2027.416667,5200157.32,26312.8,2600.08,26786.01,16069.35
