months,mujeres,defmuj,emimuj,inmmuj,nacmuj
2022,4900000.0,15778.0,1960.0,15680.0,24250.1
2022.083333,4901849.34,15783.95,1960.74,15685.92,24259.25
2022.166667,4903699.38,15789.91,1961.48,15691.84,24268.41
2022.25,4905550.12,15795.87,1962.22,15697.76,24277.57
2022.333333,4907401.56,15801.83,1962.96,15703.68,24286.73
2022.416667,4909253.69,15807.8,1963.7,15709.61,24295.9
2022.5,4911106.52,15813.76,1964.44,15715.54,24305.07
2022.583333,4912960.06,15819.73,1965.18,15721.47,24314.24
2022.666667,4914814.29,15825.7,1965.93,15727.41,24323.42
2022.75,4916669.22,15831.67,1966.67,15733.34,24332.6
2022.833333,4918524.86,15837.65,1967.41,15739.28,24341.78
2022.916667,4920381.19,15843.63,1968.15,15745.22,24350.97
2023,4922238.22,15849.61,1968.9,15751.16,24360.16
2023.083333,4924095.96,15855.59,1969.64,15757.11,24369.35
2023.166667,4925954.39,15861.57,1970.38,15763.05,24378.55
2023.25,4927813.53,15867.56,1971.13,15769.0,24387.75
2023.333333,4929673.37,15873.55,1971.87,15774.95,24396.95
2023.416667,4931533.91,15879.54,1972.61,15780.91,24406.16
2023.5,4933395.16,15885.53,1973.36,15786.86,24415.37
2023.583333,4935257.1,15891.53,1974.1,15792.82,24424.59
2023.666667,4937119.75,15897.53,1974.85,15798.78,24433.81
2023.75,4938983.1,15903.53,1975.59,15804.75,24443.03
2023.833333,4940847.15,15909.53,1976.34,15810.71,24452.25
2023.916667,4942711.91,15915.53,1977.08,15816.68,24461.48
2024,4944577.37,15921.54,1977.83,15822.65,24470.71
2024.083333,4946443.54,15927.55,1978.58,15828.62,24479.95
2024.166667,4948310.41,15933.56,1979.32,15834.59,24489.19
2024.25,4950177.99,15939.57,1980.07,15840.57,24498.43
2024.333333,4952046.27,15945.59,1980.82,15846.55,24507.68
2024.416667,4953915.25,15951.61,1981.57,15852.53,24516.93
2024.5,4955784.94,15957.63,1982.31,15858.51,24526.18
2024.583333,4957655.34,15963.65,1983.06,15864.5,24535.44
2024.666667,4959526.44,15969.68,1983.81,15870.48,24544.7
2024.75,4961398.25,15975.7,1984.56,15876.47,24553.96
2024.833333,4963270.76,15981.73,1985.31,15882.47,24563.23
2024.916667,4965143.98,15987.76,1986.06,15888.46,24572.5
2025,4967017.91,15993.8,1986.81,15894.46,24581.77
2025.083333,4968892.54,15999.83,1987.56,15900.46,24591.05
2025.166667,4970767.89,16005.87,1988.31,15906.46,24600.33
2025.25,4972643.94,16011.91,1989.06,15912.46,24609.61
2025.333333,4974520.7,16017.96,1989.81,15918.47,24618.9
2025.416667,4976398.16,16024.0,1990.56,15924.47,24628.19
2025.5,4978276.34,16030.05,1991.31,15930.48,24637.49
2025.583333,4980155.22,16036.1,1992.06,15936.5,24646.79
2025.666667,4982034.82,16042.15,1992.81,15942.51,24656.09
2025.75,4983915.12,16048.21,1993.57,15948.53,24665.4
2025.833333,4985796.13,16054.26,1994.32,15954.55,24674.71
2025.916667,4987677.86,16060.32,1995.07,15960.57,24684.02
2026,4989560.29,16066.38,1995.82,15966.59,24693.33
2026.083333,4991443.43,16072.45,1996.58,15972.62,24702.65
2026.166667,4993327.29,16078.51,1997.33,15978.65,24711.98
2026.25,4995211.85,16084.58,1998.08,15984.68,24721.3
2026.333333,4997097.13,16090.65,1998.84,15990.71,24730.63
2026.416667,4998983.11,16096.73,1999.59,15996.75,24739.97
2026.5,5000869.81,16102.8,2000.35,16002.78,24749.3
2026.583333,5002757.23,16108.88,2001.1,16008.82,24758.65
2026.666667,5004645.35,16114.96,2001.86,16014.87,24767.99
2026.75,5006534.19,16121.04,2002.61,16020.91,24777.34
2026.833333,5008423.74,16127.12,2003.37,16026.96,24786.69
2026.916667,5010314.0,16133.21,2004.13,16033.0,24796.04
2027,5012204.97,16139.3,2004.88,16039.06,24805.4
2027.083333,5014096.66,16145.39,2005.64,16045.11,24814.76
2027.166667,5015989.07,16151.48,2006.4,16051.17,24824.13
2027.25,5017882.19,16157.58,2007.15,16057.22,24833.5
2027.333333,5019776.02,16163.68,2007.91,16063.28,24842.87
2027.416667,5021670.56,16169.78,2008.67,16069.35,24852.25
2027.5,5023565.83,16175.88,2009.43,16075.41,24861.63
2027.583333,5025461.8,16181.99,2010.18,16081.48,24871.01
2027.666667,5027358.5,16188.09,2010.94,16087.55,24880.4
2027.75,5029255.91,16194.2,2011.7,16093.62,24889.79
2027.833333,5031154.03,16200.32,2012.46,16099.69,24899.18
2027.916667,5033052.87,16206.43,2013.22,16105.77,24908.58
2028,5034952.43,16212.55,2013.98,16111.85,24917.98
2028.083333,5036852.71,16218.67,2014.74,16117.93,24927.38
2028.166667,5038753.7,16224.79,2015.5,16124.01,24936.79
2028.25,5040655.41,16230.91,2016.26,16130.1,24946.2
2028.333333,5042557.84,16237.04,2017.02,16136.19,24955.62
2028.416667,5044460.98,16243.16,2017.78,16142.28,24965.04
2028.5,5046364.84,16249.29,2018.55,16148.37,24974.46
2028.583333,5048269.43,16255.43,2019.31,16154.46,24983.89
2028.666667,5050174.73,16261.56,2020.07,16160.56,24993.31
2028.75,5052080.75,16267.7,2020.83,16166.66,25002.75
2028.833333,5053987.49,16273.84,2021.59,16172.76,25012.18
2028.916667,5055894.95,16279.98,2022.36,16178.86,25021.62
2029,5057803.12,16286.13,2023.12,16184.97,25031.07
2029.083333,5059712.02,16292.27,2023.88,16191.08,25040.51
2029.166667,5061621.64,16298.42,2024.65,16197.19,25049.97
2029.25,5063531.98,16304.57,2025.41,16203.3,25059.42
2029.333333,5065443.05,16310.73,2026.18,16209.42,25068.88
2029.416667,5067354.83,16316.88,2026.94,16215.54,25078.34
2029.5,5069267.33,16323.04,2027.71,16221.66,25087.8
2029.583333,5071180.56,16329.2,2028.47,16227.78,25097.27
2029.666667,5073094.51,16335.36,2029.24,16233.9,25106.74
2029.75,5075009.18,16341.53,2030.0,16240.03,25116.22
