months,vehiculosacombustiblefosil,vehiculosagnv
2022.0,775277.0,250000.0
2022.083,767228.985667,288590.760488
2022.167,759255.467558,327069.202938
2022.25,751356.18087,365435.654863
2022.333,743530.861741,403690.442819
2022.417,735779.247254,441833.892412
2022.5,728101.075429,479866.328297
2022.583,720496.085223,517788.074182
2022.667,712964.016523,555599.452833
2022.75,705504.61015,593300.786073
2022.833,698117.607846,630892.394788
2022.917,690802.752281,668374.598928
2023.0,683559.787042,705747.71751
2023.083,676388.456635,743012.068621
2023.167,669288.506479,780167.96942
2023.25,662259.682904,817215.736142
2023.333,655301.733149,854155.6841
2023.417,648414.405356,890988.127687
2023.5,641597.448571,927713.38038
2023.583,634850.612737,964331.754742
2023.667,628173.648696,1000843.56242
2023.75,621566.308178,1037249.11417
2023.833,615028.343808,1073548.71981
2023.917,608559.509094,1109742.68828
2024.0,602159.558431,1145831.32762
2024.083,595828.247093,1181814.94496
2024.167,589565.331232,1217693.84654
2024.25,583370.567877,1253468.3377
2024.333,577243.714928,1289138.72291
2024.417,571184.531154,1324705.30572
2024.5,565192.776191,1360168.38882
2024.583,559268.210538,1395528.27401
2024.667,553410.595555,1430785.26222
2024.75,547619.69346,1465939.65348
2024.833,541895.267325,1500991.74696
2024.917,536237.081076,1535941.84097
2025.0,530644.899485,1570790.23291
2025.083,525118.488173,1605537.21937
2025.167,519657.613604,1640183.09602
2025.25,514262.043081,1674728.15771
2025.333,508931.544746,1709172.6984
2025.417,503665.887578,1743517.01121
2025.5,498464.841384,1777761.38841
2025.583,493328.176805,1811906.12139
2025.667,488255.665305,1845951.50073
2025.75,483247.079174,1879897.81612
2025.833,478302.191523,1913745.35645
2025.917,473420.776281,1947494.40973
2026.0,468602.608192,1981145.26315
2026.083,463847.462815,2014698.20306
2026.167,459155.116517,2048153.51497
2026.25,454525.346473,2081511.48356
2026.333,449957.930664,2114772.39268
2026.417,445452.647872,2147936.52536
2026.5,441009.277679,2181004.1638
2026.583,436627.600464,2213975.58937
2026.667,432307.397399,2246851.08262
2026.75,428048.450447,2279630.92329
2026.833,423850.542362,2312315.39031
2026.917,419713.456683,2344904.76178
2027.0,415636.977732,2377399.31499
2027.083,411620.890612,2409799.32645
2027.167,408071.405928,2441698.6471
2027.25,404983.193529,2473102.49929
2027.333,402350.954324,2504016.07676
2027.417,400169.420133,2534444.54478
2027.5,398433.35354,2564393.04026
2027.583,397137.547744,2593866.67192
2027.667,396276.826409,2622870.52037
2027.75,395846.043524,2651409.6383
2027.833,395840.083248,2679489.05055
2027.917,396253.859774,2707113.75426
2028.0,397082.317178,2734288.71902
2028.083,398320.429276,2761018.88694
2028.167,399963.199481,2787309.17286
2028.25,402005.660661,2813164.46439
2028.333,404442.874997,2838589.62209
2028.417,407269.933836,2863589.47958
2028.5,410481.957559,2888168.84366
2028.583,414074.095433,2912332.49443
2028.667,418041.525473,2936085.18543
2028.75,422379.454307,2959431.64374
2028.833,427083.11703,2982376.57014
2028.917,432147.777071,3004924.63919
2029.0,437568.726057,3027080.49935
2029.083,443341.28367,3048848.77315
2029.167,449460.797516,3070234.05726
2029.25,455922.642988,3091240.92264
2029.333,462722.223129,3111873.91464
2029.417,469854.9685,3132137.55313
2029.5,477316.337045,3152036.33261
2029.583,485101.813958,3171574.72234
2029.667,493206.911549,3190757.16644
2029.75,501627.169114,3209588.08402
2029.833,510358.152802,3228071.86931
2029.917,519395.455482,3246212.89172
2030.0,528734.696618,3264015.49604
2030.083,538371.522134,3281484.00248
2030.167,548301.604286,3298622.70681
2030.25,558520.641534,3315435.8805
2030.333,569024.358414,3331927.77079
2030.417,579808.505409,3348102.60082
2030.5,590868.858823,3363964.56977
2030.583,602201.220654,3379517.85293
2030.667,613801.418468,3394766.60182
2030.75,625665.305273,3409714.94435
2030.833,637788.759396,3424366.98484
2030.917,650167.684355,3438726.80421
2031.0,662798.008741,3452798.46006
2031.083,675675.686087,3466585.98678
2031.167,688796.694753,3480093.39565
2031.25,702157.037798,3493324.67495
2031.333,715752.742862,3506283.79011
2031.417,729579.862042,3518974.68374
2031.5,743634.471773,3531401.2758
2031.583,757912.672708,3543567.46369
2031.667,772410.589599,3555477.12234
2031.75,787124.371175,3567134.10434
2031.833,802050.190027,3578542.24002
2031.917,817184.242488,3589705.33757
2032.0,832522.748515,3600627.18315
2032.083,848061.951575,3611311.54097
2032.167,863798.118524,3621762.15342
2032.25,879707.015048,3632003.26562
2032.333,895764.756803,3642058.78279
2032.417,911947.806696,3651952.27281
2032.5,928232.972168,3661706.9688
2032.583,944597.402503,3671345.77162
